nazwa_produktu,cena_gospodarstwa,cena_detaliczna_atlanta,cena_detaliczna_chicago,cena_detaliczna_los_angeles,cena_detaliczna_nowy_jork,srednia_marza
Strawberries,0.1988795518207283,2.71,2.49,2.66,2.83,200.28%
Strawberries,0.2100840336134454,2.33,2.25,2.24,2.99,163.71%
Strawberries,0.23249299719887956,2.44,2.43,2.69,2.87,158.17%
Strawberries,0.22128851540616246,2.48,2.12,2.52,2.62,151.03%
Strawberries,0.2184873949579832,2.19,2.31,2.12,2.74,143.75%
Strawberries,0.22408963585434177,2.57,2.25,2.37,2.99,159.69%
Strawberries,0.22128851540616246,2.59,2.13,2.24,2.74,150.00%
Strawberries,0.2296918767507003,2.37,1.58,2.16,2.67,119.50%
Strawberries,0.2184873949579832,2.19,2.48,2.12,2.49,141.67%
Strawberries,0.19607843137254904,2.21,2.56,2.24,2.37,166.48%
Strawberries,0.22689075630252103,2.13,1.54,2.24,2.99,124.75%
Strawberries,0.21568627450980393,2.49,2.9,2.34,3.16,186.58%
Strawberries,0.17086834733893558,2.12,2.62,2.62,2.44,210.13%
Strawberries,0.1512605042016807,2.57,2.62,2.59,2.57,259.38%
Strawberries,0.23529411764705882,2.44,1.87,1.74,2.26,103.68%
Strawberries,0.257703081232493,2.24,2.94,2.47,2.57,132.27%
Strawberries,0.18207282913165262,2.61,2.22,2.74,2.27,196.39%
Strawberries,0.2184873949579832,2.62,2.62,3.16,3.37,206.51%
