nazwa_produktu,cena_gospodarstwa,cena_detaliczna_atlanta,cena_detaliczna_chicago,cena_detaliczna_los_angeles,cena_detaliczna_nowy_jork,srednia_marza
Strawberries,0.4397759103641457,1.99,2.37,2.22,2.99,36.71%
Strawberries,0.4761904761904762,2.74,2.55,3.24,3.0,53.32%
Strawberries,0.5462184873949579,2.74,2.54,3.62,2.99,39.55%
Strawberries,0.5462184873949579,2.99,3.12,3.49,3.74,56.57%
Strawberries,0.5462184873949579,3.32,2.74,3.49,2.87,45.77%
Strawberries,0.5098039215686274,2.99,2.39,2.5,3.99,48.38%
Strawberries,0.4397759103641457,3.24,2.41,3.62,2.99,75.14%
Strawberries,0.4397759103641457,3.49,2.87,3.99,3.24,94.14%
Strawberries,0.4397759103641457,3.0,2.99,3.74,2.99,81.71%
Strawberries,0.42296918767507,3.82,3.0,2.99,3.61,98.52%
Strawberries,0.5630252100840336,3.86,3.49,4.24,4.49,83.56%
Strawberries,0.42296918767507,3.82,4.61,4.49,4.15,152.51%
Strawberries,0.6862745098039215,4.66,4.61,4.62,5.49,84.22%
Strawberries,0.649859943977591,4.66,4.61,4.62,5.49,93.80%
Strawberries,0.6862745098039215,4.66,4.75,4.87,5.24,85.55%
Strawberries,0.7899159663865546,4.49,3.99,4.62,5.49,54.92%
Strawberries,0.7899159663865546,3.16,4.0,3.99,4.99,34.50%
Strawberries,0.06162464985994398,2.62,2.64,3.37,3.65,667.50%
Strawberries,0.27170868347338933,2.69,2.32,2.87,4.32,165.22%
Strawberries,0.2296918767507003,2.62,2.37,2.87,3.24,177.50%
Strawberries,0.28291316526610644,2.74,2.49,2.18,2.99,118.49%
Strawberries,0.2296918767507003,2.37,1.79,2.04,3.11,132.75%
Strawberries,0.19607843137254904,2.37,2.41,2.62,3.49,209.38%
Strawberries,0.19607843137254904,2.37,1.98,2.99,3.32,202.84%
Strawberries,0.19607843137254904,2.5,2.49,2.87,3.61,225.85%
Strawberries,0.2296918767507003,2.62,2.24,2.87,3.61,183.50%
Strawberries,0.31652661064425774,2.57,2.24,2.5,3.61,108.40%
Strawberries,0.35294117647058826,2.69,2.59,2.62,3.49,97.74%
Strawberries,0.31652661064425774,2.87,2.24,2.87,3.34,116.03%
Strawberries,0.2661064425770308,2.83,2.36,2.62,3.49,150.00%
Strawberries,0.2745098039215686,2.74,2.36,2.5,2.74,122.84%
Strawberries,0.2661064425770308,1.91,1.94,2.31,2.86,99.56%
Strawberries,0.2296918767507003,2.49,1.94,2.37,2.74,138.50%
Strawberries,0.22128851540616246,2.5,1.94,2.43,2.99,154.12%
Strawberries,0.22128851540616246,2.75,2.69,2.87,2.61,181.44%
Strawberries,0.28291316526610644,2.62,2.94,1.81,3.11,120.17%
Strawberries,0.25490196078431376,2.62,2.32,2.5,2.99,139.22%
Strawberries,0.2745098039215686,2.62,1.94,2.62,2.61,110.99%
Strawberries,0.28291316526610644,2.24,2.12,2.62,2.74,104.20%
Strawberries,0.2661064425770308,2.5,1.99,3.0,2.49,120.80%
Strawberries,0.2408963585434174,3.24,2.36,2.87,2.95,174.52%
Strawberries,0.2296918767507003,2.69,2.41,2.87,3.61,189.50%
Strawberries,0.3473389355742297,2.88,2.36,2.74,2.49,84.33%
Strawberries,0.42296918767507,2.87,2.31,2.5,4.32,77.51%
